shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,color1,color2,color3,color4,color5,color6,color7,color8,size01,size02,size03,size04,size05,size06,size07,size08,rotat1,rotat2,rotat3,rotat4,rotat5,rotat6,rotat7,rotat8,eccen1,eccen2,eccen3,eccen4,eccen5,eccen6,eccen7,eccen8,proxi1,proxi2,proxi3,proxi4,proxi5,proxi6,proxi7,proxi8,hrlck1,hrlck2,mutation
-2.2789e-06,-5.8025e-06,0.00033818,-6.2231e-06,5.7239e-05,0.00047234,0.052716,0.052722000000000005,0.052383000000000006,0.095004,0.094946,0.094474,0.0028636,0.0017514,0.0038732,0.0028303,4.588487384039519,0.7561725788779432,0.675865475785822,2.2003,2.1996,2.2037,2.2036,2.2029,-0.021596,0.090731,0.72717,0.0032340000000000003,10.254735913353752,0.56782,0.013349,0.013373,0.6357119242397615,9.17601531001926,-0.00034274,-1.3265895677247062,-0.8490541456999604,-0.3811804028440295,0.27340405057194184,-0.58557,1.0621,4.4449,0.8364796819700642,-1.5031,-1.5029,1.1509631938413412,1.6702298185975275,-1.4964,0.2312602513911385,4.662330806258439,0
2.3052e-05,2.2034e-05,-4.277600000000001e-05,7.678699999999998e-07,1.663e-05,-0.00018927,0.055287,0.055265,0.055308,0.071142,0.071125,0.071314,0.0021647,0.0011014000000000002,0.0035171,0.0021711,8.036849994177272,1.5799277008621089,1.3205559789516652,1.2455,1.2449,1.2422,1.2422,1.2414,-0.036066,0.11066,0.013197,-0.0030935,-4.2287989508709565,-1.1115,-0.0079309,-0.007965999999999999,1.1908701179964432,6.144592756279301,0.024545,6.244301726124113,0.050690123905990606,-0.9835111965326108,0.07463225268932383,-0.72287,0.38627,8.4147,1.8392994227725523,-1.5025,-1.5027,1.9926826531272208,2.8074637743535207,-1.5055,1.5322327582562931,5.19626121477992,0
-2.1906e-05,4.2708e-06,0.00036157,1.6817e-06,-1.1895e-05,-0.00016726,0.006509,0.0065047,0.0061431,0.019397,0.019409,0.019576,0.0026229,0.0013949,0.005275899999999999,0.0025406,5.541973216732478,-0.560917388978982,-0.5465174573594594,1.8279,1.827,1.8248,1.8247,1.8243,0.020829,-0.091615,0.5213800000000001,-0.016118,-5.240248333679165,-0.24757,-0.0090575,-0.0090764,-0.5393174915496981,4.776396908702399,0.01019,6.250335360621826,0.5404602414742595,-0.4852621676551154,0.6728861753316329,-0.66942,1.5977,5.7082,-0.5753173205985047,-1.4975,-1.4969,-1.057035085670112,-1.5754726763715023,-1.4984,-1.8461380446857527,5.158199335464122,0
2.7577e-06,4.9151e-06,6.040700000000001e-06,1.4021e-06,7.7053e-07,8.0581e-06,0.059301,0.059296,0.05929,0.11013,0.11013,0.11012,0.00078002,0.00024633,0.00046328,0.00077699,3.2001133778700384,0.5951491714835297,0.5792514313491739,1.2794,1.2794,1.2772,1.2772,1.2772,0.00098449,0.35895,0.083026,-0.011671,9.653810955016358,0.11349,0.0070068,0.0069994,0.5713025612819961,9.046951972489378,-0.0019186,-1.6387981021050968,0.381889479002678,-0.5610350392472764,0.2092791939684982,-0.58505,3.3347,2.8404,0.6110469116178855,-1.4967,-1.4967,1.1187585123624586,1.6670093504496393,-1.4972,1.9955891209432,4.610641857478205,0
-7.751900000000001e-06,-4.867e-05,0.00010331,2.0892e-06,-9.8865e-05,-0.0001206,0.010542,0.010591,0.010488,-0.02025,-0.020151,-0.020030000000000003,0.0023231,0.0012088,0.0025663,0.0023893,6.2193082480087325,1.4141533776326929,1.2210913850140157,1.5025,1.5019999999999998,1.5031,1.5029,1.5022,0.013552000000000002,-0.2418,0.1833,0.023345,8.698127124388638,0.014763,0.0019741,0.0020288,1.1245603887046771,10.158857445435242,-0.0042896,-0.1991002320555796,1.5794232121308738,-1.0500530818210716,-0.04194745408190223,-0.6431,20.89,6.4415,1.60721537025137,-1.5066,-1.5065,1.9595277884813376,2.8041482878889328,-1.4979,0.5835151620077706,4.916569003993843,0
1.7328e-05,3.319e-05,0.00046046,9.3377e-06,4.171e-05,-0.00028743,0.032252,0.032219,0.031758,0.11538,0.11534,0.11562,0.0024797,0.0014187000000000002,0.0034563000000000003,0.0024964,4.54811085756228,-0.25993120597976793,0.10346410254123406,1.7036,1.7029,1.7086,1.7085,1.7079,-0.014367,0.13026,1.1702,-0.025319,-9.216475863733596,-0.33949,-0.0064458,-0.0064937,0.28516175680173506,3.583088028955338,0.017981,-3.8596777154548936,0.4556283911318504,-0.7480192528243143,-0.13478628880651394,-0.66406,2.6194,4.2628,-0.6233265145007698,-1.5062,-1.506,1.115416476384973,1.9275014305421607,-1.4983,1.1371956324405268,5.161677019859117,0
4.9248e-07,3.0141e-05,-8.87e-05,-6.3033e-06,6.4786e-05,-2.8433e-05,0.05141,0.05138,0.05146900000000002,0.072244,0.072179,0.07220800000000001,0.0022105,0.0011725,0.0039373,0.0021424,3.6174610809017014,-0.3772486628917182,-0.43631622170710105,1.2454,1.2448,1.2445,1.2444,1.244,-0.016624,-0.28295,-0.49659,-0.017613,11.208854839954265,-0.0098263,-0.015607,-0.015627000000000002,-0.4658500011147925,8.166174800857334,0.029901,-1.1896285874642094,-0.6999013006473771,-1.0460942371109996,-0.3207221056839106,-0.69377,2.8501,3.5499,-0.3181811040763353,-1.5004,-1.5002,-1.0203013404526593,-1.5717993018497571,-1.5006,0.9636569362123208,4.62621505031948,0
-2.9088e-06,1.0520999999999998e-06,7.7733e-06,-2.3006e-06,1.2859999999999998e-06,9.2304e-06,0.027322000000000003,0.027321,0.027314,-0.038062,-0.038063,-0.038073,0.00078851,0.00026169,0.00055462,0.0007754,15.445783550492475,-0.9834110652014352,-0.8000136630929313,1.3621,1.3621,1.3627,1.3627,1.3627,0.007073,0.044801,-0.0088275,0.004797,10.422632424701334,-0.30964,-0.00089696,-0.00089622,-0.7083149620386793,9.021841766248473,-0.0017211,-0.2398471777598609,-0.3459902546128472,-0.3432610731006761,0.0019849644371734924,-0.56272,2.2007,15.216,-1.166808467309939,-1.4979,-1.4978,-1.1415338209146029,-1.5839225498959515,-1.4976,2.6039650738696642,4.1847258731089285,0
-3.7559e-06,-1.4821e-05,-0.00041749,-3.5984e-05,3.1089e-05,0.00019793,-0.048055,-0.04804,-0.047623,-0.17749,-0.17752,-0.17772000000000002,0.0026409000000000003,0.0016399,0.0049305,0.0026767,2.6956524306045133,-0.8200312927333642,-0.7019857996120887,1.9226,1.9216,1.9163,1.9162,1.9154,0.02147,0.27915,-0.6639,0.033132,-5.654866704116032,0.41505,0.010424,0.010412,-0.6429630530514511,5.074190630687432,-0.020256,6.756268640792699,-0.03231265212128013,-0.3842775248206265,0.3008029743193137,-0.5615100000000001,2.6446,2.5733,-0.9380767858546396,-1.5003,-1.4998,-1.1088578664209885,-1.58065495444659,-1.4966,0.4770618895259305,4.9975697370000365,0
-2.8071e-06,1.3064e-05,6.9361e-05,2.1733e-06,6.945599999999997e-06,0.00011544,0.052611,0.052598,0.052529,0.10594,0.10593,0.10582,0.0012335,0.00062957,0.0013908,0.0011973,15.78779993200618,0.7190463298865187,0.6908506240610061,1.5213,1.521,1.5178,1.5178,1.5177,0.010136,0.34562,0.89531,-0.0034716,6.011434251796148,1.811,0.0070777,0.0070628,0.6767527711482497,2.1697113849527607,0.006587399999999999,3.0995141676979028,-0.32466851703566946,-0.8602518054784667,0.3660083935117151,-0.75703,26.387,15.811,0.7472420357120315,-1.5004,-1.5004,1.3112119835582303,1.9470809812594867,-1.4984,0.8162599825436223,3.7003140429537584,0
3.3838e-06,5.7738e-05,0.000662,3.1226e-06,1.24e-05,6.7471e-05,0.0053962,0.0053385,0.0046764,-0.02937,-0.029383,-0.02945,0.0022822,0.0013818,0.0038287,0.0022906,7.913667319226827,0.4201549128533593,0.5115157738411105,1.4107,1.4102,1.4182,1.4181,1.4177,-0.029069,0.24973,0.97674,-0.013900999999999998,6.347284482135078,1.3030000000000002,-0.0054243,-0.005516399999999999,0.557196204334986,1.5309807142208391,0.0024513,3.103516458782205,0.25835600666036274,-0.7354938042908634,0.09020616667990844,-0.70177,0.13313,7.9148,0.32879405186560823,-1.5086,-1.5081,1.2514337001515985,1.9411031529188238,-1.4991,0.4279942278850912,4.013348807398507,0
-6.9913e-06,-7.634500000000001e-06,-0.00062478,-1.3817e-05,7.7554e-05,0.00017118,0.021847,0.021855,0.022479,-0.044786,-0.044864,-0.045035000000000006,0.0030178,0.0029314,0.0064879,0.0029847,9.539020283146703,0.5582876816853314,0.5943954351402937,2.3397,2.3381,2.3415,2.3414,2.3405,0.013206,0.077276,-1.6395,0.014855000000000004,-5.9918751668806625,0.7979999999999999,0.0061156000000000005,0.0060845,0.6124493118677747,4.881360612108773,-0.016151,6.4455845095083895,-0.8692571902069257,0.12138961927090865,0.33939880069227346,-0.5201100000000001,4.4622,10.038,0.5221799282303692,-1.5031,-1.5033,1.279060253917993,1.9438658082954632,-1.4921,0.8543290966761339,5.042708318092538,0
